lat,lon,disc
33.07937751734407,-117.05861497616445,DESTROYER-1
33.079875907880506,-117.05761927663215,JUDGE-1
33.07997296006478,-117.05781618629774,JUDGE-1
33.07996618322009,-117.05779951785027,JUDGE-1
33.0797281574322,-117.05762242866709,BUZZZ-1
33.079194960525015,-117.05762538229607,BUZZZ-1
33.07901276287826,-117.05777175093903,JUDGE-1
33.078998509793465,-117.05779050420003,JUDGE-1
33.0789764559238,-117.05780367105976,JUDGE-1
33.07932014235096,-117.05727191223264,SIDEWINDER-1
33.08021072148053,-117.0573815124013,BUZZZ-1
33.08076209898869,-117.05735895508488,JUDGE-1
33.080514485412685,-117.05771652532324,SIDEWINDER-1
33.07972666917762,-117.05851499031745,BUZZZ-1
33.07947826139787,-117.05880086587636,JUDGE-1
33.07951178006171,-117.05879426819646,JUDGE-1
33.079365782132214,-117.0592371797643,DESTROYER-1
33.079128036191214,-117.05996899270855,JUDGE-1
33.07915849119976,-117.0600985421816,JUDGE-1
33.079170529651044,-117.06012558753075,JUDGE-1
33.07917724128963,-117.0601333127435,JUDGE-1
33.080856618759555,-117.06104881633223,DESTROYER-1
33.08140096542414,-117.0611507744463,JUDGE-1
33.08143426025405,-117.0611115319755,JUDGE-1
33.08140041714634,-117.0609572613951,DESTROYER-1
33.082008429641874,-117.06087461372783,DESTROYER-1
33.08205146297304,-117.06087423120192,JUDGE-1
33.08210179761398,-117.06105420817022,JUDGE-1
33.082100032658914,-117.06105639789568,JUDGE-1
33.08278211612732,-117.06090472189511,BUZZZ-1
33.08277599501014,-117.06087674494268,BUZZZ-1
33.08281786486574,-117.06077730672396,JUDGE-1
33.08282184456233,-117.0607715133788,JUDGE-1
33.083400628524345,-117.06098729964228,DESTROYER-1
33.083959949412915,-117.06123730319992,JUDGE-1
33.084108390556004,-117.06125818903158,JUDGE-1
33.08412924152542,-117.06127572079797,JUDGE-1
33.084479113771145,-117.06126824248602,SIDEWINDER-1
33.084013891056344,-117.06181484792974,BUZZZ-1
33.08372998054594,-117.06160511089504,JUDGE-1
33.08348629384517,-117.06183314973147,SIDEWINDER-1
33.08423267927385,-117.06158491208659,DESTROYER-1
33.08443322430288,-117.06161598412686,DESTROYER-1
33.0847406714228,-117.0616874657087,JUDGE-1
33.08484495830742,-117.06154753181204,JUDGE-1
33.08485625974032,-117.06153424636199,JUDGE-1
33.08489407554587,-117.06154872736215,JUDGE-1
33.08473101565511,-117.06189435482878,SIDEWINDER-1
33.08402892149041,-117.06211599748288,JUDGE-1
33.08392141635744,-117.06223169874673,JUDGE-1
33.083941553993895,-117.06221362688271,JUDGE-1
33.0827016603428,-117.06197939933817,JUDGE-1
33.082844233061344,-117.06182816365448,JUDGE-1
33.08290938912288,-117.06182535650798,JUDGE-1
33.082855769567786,-117.06180086906058,JUDGE-1
33.08245921747581,-117.06146523690168,SIDEWINDER-1
33.08211489315609,-117.06127047684492,BUZZZ-1
33.0814888943694,-117.06119991957839,JUDGE-1
33.08150806896532,-117.06122714158414,JUDGE-1
33.08180588805118,-117.06148094030489,DESTROYER-1
33.08114079167144,-117.06174937787574,JUDGE-1
33.081111692516956,-117.06179000243476,JUDGE-1
33.08121936814352,-117.06203138508248,DESTROYER-1
33.0807931842566,-117.06231958187969,BUZZZ-1
33.08059758693628,-117.06253346599799,JUDGE-1
33.08049491713048,-117.06249355227806,JUDGE-1
33.08052126401543,-117.062278603897,BUZZZ-1
33.080058435771086,-117.06231880499506,JUDGE-1
33.0799999353263,-117.06242871720099,JUDGE-1
33.07994036015441,-117.06252266288209,JUDGE-1
33.07964720018217,-117.06246763420344,DESTROYER-1
33.079546696130535,-117.06140846432638,JUDGE-1
33.07954058899544,-117.06137561119739,JUDGE-1
33.079534572373696,-117.06136966687109,JUDGE-1
33.07953457132889,-117.06133205061388,JUDGE-1
